"bibtype","author","title","journal","publisher","doi","url","fulltext","related","year","abstract","note","type"
"Article","CA Correa Ayram and ME Mendoza and {...}","Habitat connectivity in biodiversity conservation: A review of recent studies and applications","Progress in …","journals.sagepub.com","10.1177/0309133315598713","https://journals.sagepub.com/doi/abs/10.1177/0309133315598713","https://journals.sagepub.com/doi/pdf/10.1177/0309133315598713","https://scholar.google.com/scholar?q=related:Z2DP73-Ncp0J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2016","… While the implications of landscape connectivity are self-… in the integration of landscape connectivity in the identification and … We found no implementation of landscape connectivity …","531 cites: https://scholar.google.com/scholar?cites=11345285991923408999\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","CN Ng and YJ Xie and XJ Yu","Integrating landscape connectivity into the evaluation of ecosystem services for biodiversity conservation and its implications for landscape planning","Applied Geography","Elsevier","","https://www.sciencedirect.com/science/article/pii/S0143622813001124",NA,"https://scholar.google.com/scholar?q=related:hZUoEoGojFsJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2013","This paper examines the integration of landscape connectivity and ecosystem services. It is based on the assumption that if a habitat within a landscape has a more significant role in …","113 cites: https://scholar.google.com/scholar?cites=6596832826499831173\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","LR Tambosi and AC Martensen and MC Ribeiro and {...}","A framework to optimize biodiversity restoration efforts based on habitat amount and landscape connectivity","Restoration …","Wiley Online Library","10.1111/rec.12049","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.12049","https://www.teses.usp.br/teses/disponiveis/41/41134/tde-29052014-112453/publico/Leandro_Tambosi_COMP.pdf#page=16","https://scholar.google.com/scholar?q=related:LuAitCdRGakJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2014","… is known to influence the persistence of biodiversity. In the absence of this information, … and landscape connectivity. We used a graph theory approach to evaluate landscape connectivity…","350 cites: https://scholar.google.com/scholar?cites=12184859497795346478\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","IR Salviano and FR Gardon and RF {dos Santos}","Ecological corridors and landscape planning: a model to select priority areas for connectivity maintenance","Landscape Ecology","Springer","10.1007/s10980-021-01305-8","https://link.springer.com/article/10.1007/s10980-021-01305-8",NA,"https://scholar.google.com/scholar?q=related:zpkQbsmwlV4J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2021","… To reduce the effects of habitat loss, ecological corridors have been proposed as a relevant … spatial model to identify and prioritize riparian corridors to improve landscape connectivity. …","70 cites: https://scholar.google.com/scholar?cites=6815547990276610510\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Book","D Rudnick and SJ Ryan and P Beier and SA Cushman and {...}","The role of landscape connectivity in planning and implementing conservation and restoration priorities. Issues in Ecology","","scholars.unh.edu","","https://scholars.unh.edu/geog_facpub/19/","https://scholars.unh.edu/cgi/viewcontent.cgi?article=1018\&context=geog_facpub","https://scholar.google.com/scholar?q=related:z04K6CPyIk8J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2012","… we do not effectively incorporate human activities into connectivity planning. While this Issue identifies … planning to enhance habitat connectivity is essential for biodiversity conservation. …","567 cites: https://scholar.google.com/scholar?cites=5702386314235236047\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","M Beger and A Metaxas and AC Balbar and JA McGowan and {...}","Demystifying ecological connectivity for actionable spatial conservation planning","Trends in Ecology \& …","cell.com","","https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(22)00222-1","https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(22)00222-1","https://scholar.google.com/scholar?q=related:NS2STRZ13hYJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2022","… areas that gain biodiversity benefit from connectivity. … Ecological connectivity therefore is a key process to integrate into … of ecological connectivity for the persistence of biodiversity. …","137 cites: https://scholar.google.com/scholar?cites=1647883252315335989\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","M Baguette and S Blanchet and D Legrand and {...}","Individual dispersal, landscape connectivity and ecological networks","Biological …","Wiley Online Library","10.1111/brv.12000","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12000","https://www.academia.edu/download/43972001/Individual_dispersal_landscape_connectiv20160321-10426-m4iu9q.pdf","https://scholar.google.com/scholar?q=related:6HapSkIaWLUJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2013","… We review whether landscape connectivity estimates could gain in both precision … landscape connectivity. We thus strongly recommend the use of genetic tools to: (i) assess gene flow …","890 cites: https://scholar.google.com/scholar?cites=13067223190838277864\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Book","J Hilty and GL Worboys and A Keeley and S Woodley and BJ Lausche and {...}","Guidelines for conserving connectivity through ecological networks and corridors.","","myescarpment.ca","","https://myescarpment.ca/wp-content/uploads/2025/04/Gudielines-for-corridors_IUCN.pdf","https://myescarpment.ca/wp-content/uploads/2025/04/Gudielines-for-corridors_IUCN.pdf","https://scholar.google.com/scholar?q=related:8Vb55KhxXr8J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2020","… Ensuring that protected and other conserved areas are well-connected across landscapes and seascapes, as part of ecological networks, will both maintain biodiversity and provide an …","536 cites: https://scholar.google.com/scholar?cites=13789584079265027825\&as_sdt=2005\&sciodt=2007\&hl=en","PDF"
"Article","MJ Samways and CS Bazelet and JS Pryke","Provision of ecosystem services by large scale corridors and ecological networks","Biodiversity and Conservation","Springer","10.1007/s10531-009-9715-2","https://link.springer.com/article/10.1007/s10531-009-9715-2","https://www.researchgate.net/profile/Corinna-Bazelet/publication/225380406_Provision_of_ecosystem_services_by_large_scale_corridors_and_ecological_networks/links/0deec51516f3f24c43000000/Provision-of-ecosystem-services-by-large-scale-corridors-and-ecological-networks.pdf","https://scholar.google.com/scholar?q=related:mB5rmsigkxIJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2010","… corridors and nodes as remnant ecological networks (ENs) within the … biodiversity. However, little scientific research is available on the effectiveness of these huge ENs for biodiversity …","134 cites: https://scholar.google.com/scholar?cites=1338590297703784088\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","MJ Samways and JS Pryke","Large-scale ecological networks do work in an ecologically complex biodiversity hotspot","Ambio","Springer","10.1007/s13280-015-0697-x","https://link.springer.com/article/10.1007/s13280-015-0697-x","https://link.springer.com/article/10.1007/s13280-015-0697-x","https://scholar.google.com/scholar?q=related:pLwqq7Yw018J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2016","Landscape-scale ecological networks (ENs) are interconnected conservation corridors of high-quality habitat used to mitigate the adverse effects of landscape fragmentation and to …","100 cites: https://scholar.google.com/scholar?cites=6904916214802988196\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
